P0629,Check Fuel Pump Relay - Short Circuit to Battery
P0628,Check Fuel Pump Relay - Short Circuit to Ground
P0627,Check Fuel Pump Relay - Open Load
P0262,Check Fuel Injector - Short Circuit to Battery Plus
P0261,Check Fuel Injector - Short Circuit to Ground
P0201,Check Fuel Injector - Open Load
P2300,Check Ignition Coil - Short Circuit to Ground
P0032,Check Lamda/O2 Sensor - Short Circuit to Battery
P0031,Check Lamda/O2 Sensor - Short Circuit to Ground
P0030,Check Lamda/O2 Sensor - Open Load
P0511,Check IACV - Open Load
P0509,Check IACV - Short Circuit to Battery
P0508,Check IACV - Short Circuit to Ground
P0108,Check MAP Sensor - Short circuit to Battery / Open Circuit
P0107,Check MAP Sensor - Short circuit to Ground
P0112,Check Intake Air temperature Short Circuit to ground
P0113,Check Intake Air Temperature Sensor Open Load/ Short circuit
P0123,Check Throttle Position sensor : Open Load, Short circuit to Battery
P0122,Check Throttle position sensor Short circuit to Ground
P0132,Check Lamda/O2 Sensor - Short circuit to Battery
P0131,Check Lamda/O2 Sensor - Short circuit to Ground
P0134,Check Lamda/O2 Sensor - Open load
P0130,Check Lambda O2 Sensor - Short to heater line signal stuck to upper lower operating region
P0335,CKP Sensor - Device not operational
P1560,Check Battery - Non plausible
P0562,Check Battery - Min error
P0563,Check Battery - Max error
P0117,Check ECT Sensor - Short circuit to Ground
P0118,Check ECT Sensor - Open load
P1613,Check Side Stand Switch - Open load
P1612,Check Side Stand Switch - Short Circuit to Ground
P1611,Check Side Stand Switch - Short Circuit to Battery
P1610,Check Side Stand Switch - Non Plausible
P0459,Check Canister Purging - Short Circuit to Battery
P0458,Check Canister Purging - Short Circuit to Ground
P0444,Check Canister Purging - Open Load
P0000,Sensor Supply 1 Error
P1604,Sensor Supply Voltage Supply1 - Over Voltage
P0642,Sensor Supply Voltage Supply 1 - Short Circuit to Ground
P1605,Sensor Supply Voltage Supply 1 - Under Voltage
P0000,Sensor Supply 2 Error
P1606,Sensor Supply Voltage Supply 2 - Over Voltage
P0652,Sensor Supply Voltage Supply 2 - Short Circuit to Ground
P1607,Sensor Supply Voltage Supply 2 - Under Voltage
P0692,Check Fan Relay - Short to Battery
P0691,Check Fan Relay - Short to Ground
P0480,Check Fan Relay - Open Load
P0917,Gear Position Sensor - Short to battery
P0916,Gear Position Sensor - Short toGround / Open Load
P0501,Check Wheel Speed Sensor - Device Present or Not V/L Speed
P0617,Check Starter Relay - Short to Battery
P0616,Check Starter Relay - Short to Ground
P0615,Check Starter Relay - Open Load
P1510,Engine Over Heat - Speed Limited
P0410,Check SAI - Short to Battery
P0412,Check SAI - Short to Ground
P0413,Check SAI - Open Load
P0642,Sensor supply short to Ground
P1643,Sensor supply short to Battery
P0201,Injector Open circuit
P0261,Injector short to Ground
P0262,Injector short to Battery
P0627,Fuel Pump relay Open circuit
P0628,Fuel Pump relay short to Ground
P0629,Fuel Pump relay short to Battery
P0113,Intake Air temperature sensor Open circuit / Short to Battery
P0112,Intake Air temperature sensor short to Ground
P0134,O2 sensor Open circuit
